题号,题干,A选项,B选项,C选项,D选项,答案,解析
1,万一发生电气火灾，首先应该采取的第一条措施是,打电话报警,切断电源,扑灭明火,求援,B,
2,"发现燃气泄漏,正确做法是",触动电器开关,使用明火,"迅速关阀门,打开门窗",以上都是,C,
4,如果在实验室发生烫伤，正确的处理方法是,用浓酒精消毒后，涂上苦味酸软膏,如果伤处红肿，用棉花蘸酒精涂抹伤处,若皮肤起泡，不要弄破水泡，以防感染,以上均对,D,
5,实验室人员发生触电时，下例哪种行为是不正确的？,应迅速切断电源，将触电者上衣解开，取出口中异物，然后进行人工呼吸,应迅速注射兴奋剂,当患者伤势严重时，应立即送医院强救,,B,
6," 被火困在室内,如何逃生？", 跳楼,到窗口或阳台挥动物品求救、用床单或绳子拴在室内牢固处下到下一层逃生 ," 躲到床下,等待救援","打开门,冲出去",B,
7,在火灾初发阶段，应采取哪种方法撤离？, 乘坐电梯,用湿毛巾捂住口鼻低姿从安全通道撤离, 跳楼逃生,跑到楼顶呼救,B,
8,身上着火，最好的做法是,就地打滚或用水冲, 奔跑,大声呼救,边跑边脱衣服,A,
15,在使用实验设备时，如果发现设备工作异常，正确的处理方法是,停机并报告相关负责人员,关机走人,继续使用，注意观察,以上都行,A,
16,有人触电时，应该马上用手去把触电者拉开，然后立即切断电源,正确,错误,,,B,
17,使用电器设备时，应保持手部干燥。当手、脚或身体沾湿或站在潮湿的地板上时，切勿启动电源开关、触摸通电的电器设施,正确,错误,,,A,
18,火或热水等引起的小面积烧伤、烫伤，必须用冷水冲洗30分钟以上，然后用烧伤膏涂抹，切不可用牙膏、酱油、盐等覆盖。,正确,错误,,,A,
