题号,题干,A选项,B选项,C选项,D选项,答案,解析
1,引起电器线路火灾的原因是,短路,电火花,负荷过载,以上都是,D,电路短路、电火花、负荷过载都会引起线路火灾
2,无菌室需定期用什么消毒溶液擦拭墙、地面、桌椅及其它设施？,95%乙醇, 0.05%新洁尔灭,高锰酸钾,洗涤剂,B,新洁儿灭学名为苯扎溴铵，是最常用的表面活性剂之一，具有洁净、杀菌消毒和灭藻作用，广泛用于杀菌、消毒、防腐、乳化、去垢、增溶等方面，是迄今工业循环水处理常用的非氧化性杀菌灭藻剂、黏泥剥离剂和清洗剂之一
3,在遇到高压电线断落地面时，导线断落点多少米内，禁止人员进入。,10米,20米,30米,50米,B,
4,进行照明设施的接电操作，应采取的防触电措施为,切断电源,站在金属登子或梯子上,戴上手套,湿手操作,A,
5,发生触电事故的危险电压一般是伏以上？,65伏,110伏,220伏,380伏,A,
6,实验室、宿舍禁止使用电热水壶、热得快。一般电热水壶的功率为,100W左右,200W左右,500W左右, 800W以上,D,
7,电线插座损坏时，既不美观也不方便工作，并造成,吸潮漏电,空气开关跳闸,触电伤害,以上都是,D,
8,雷电放电的特点是,电流大，电压高, 电流小，电压高,电流大，电压低,电磁波辐射,A,
9,干粉灭火器适用于,可燃气体起火,电器起火,有机溶剂起火,以上都是,D,
10,当实验器材出现损坏，应该,主动报告负责人,及时关闭电源,不盲目擅自维修,以上都可以,D,
11,下列不属于实验室一级防护工具的是,口罩, 防护服,铅服,乳胶手套,C,
12,不能减少电磁辐射的是,对辐射源进行屏蔽,用布覆盖辐射源,辐射源远离敏感物体或人,尽量缩短处于辐射区的时间,B,
13,在实验里辨别有味的药品的正确方法是,对着瓶口深吸一下,对着瓶口略吸一下,用手扇着少量气体入鼻孔,食用少许,C,
14,使用灭火器扑救火灾时要对准火焰的什么部位喷射,上部,中部,根部,中上部,C,
15,实验室内 ,使用闸刀开关、木质配电板和花线,自己随意接、拉电线,固定电源插座未经允许不得拆装、改线,,C,
16, 易燃、易爆物品和杂物等应该堆放在,烘箱、箱式电阻炉等附近,冰箱、冰柜等附近,单独通风的实验室内,,C,
17,实验室钥匙不得私自配置或给他人使用。钥匙的配发、管理由谁负责,校安全员,学院安全员,实验室负责人,实验室学生,C,
18,实验室安全管理实行哪种管理？,校、（院）系、实验室三级管理,校、（院）系两级管理,实验室自行管理,学生自主管理,A,
19,紫外线消毒方便实用，紫外灯可以是固定式，也可以是活动式的，但离被照射物不应超过多少距离？,"1.2m
",1.8 m,2.2 m,3.2m,A,
20,常规微生物操作规程中的安全操作要点，以下哪一项是错误的？,禁止非工作人员进入实验室,禁止在工作区饮食、吸烟、处理隐形眼镜、化妆及储存食物 ,所有培养物、废弃物在运出实验室之前不必进行灭菌,以移液器吸取液体，禁止口吸,C,
21,紫外线照射消毒时间一般为：,10min以上,20min以上,30min以上,"15min以上 
",C,
22,紫外线照射以多少纳米波长最为有效,250-256nm,200-300 nm,260-280 nm,260-266 nm,D,
23,实验室常用于皮肤或普通实验器械的消毒液有,75%乙醇,福尔马林（甲醛）,来苏儿（甲酚）,漂白粉（次氯酸钠）,A,
24,二级生物安全实验室手套的要求不包括,在实验室工作时可供使用，对所涉及的危险，例如生物危险、化学品、辐射污染、冷和热、产品污染、刺伤、擦伤和动物抓咬伤等提供足够的防护,为提供足够保护，试验中接听电话或临时离开实验室时均需始终穿戴原来的手套,"在撕破、损坏或怀疑内部受污染时应更换新手套

",所戴手套无漏损，戴好手套后可完全遮住手及腕部,B,
25,在实验室工作区域可以适当进食、饮水、吸烟、化妆和处理隐形眼镜,正确,错误,,,B,
26,在实验室口渴了可以脱下手套，用洗干净的烧杯（烧杯内外不挂水珠）喝蒸馏水，但不能喝实验室的自来水。,正确,错误,,,B,
27,在安全通道处，可以暂时放置报废的实验设备,正确,错误,,,B,
28,"实验室内必须存放一定数量的消防器材如灭火器等，灭火器放置在便于取用的明显位置
",正确,错误,,,A,
29,做实验的时候，长头发的同学应该将长发束好，不要佩戴隐形眼镜,正确,错误,,,A,
30,做实验的时候，可以穿拖鞋、高跟鞋等舒服的鞋去做实验,正确,错误,,,B,
31,实验室用来储存药品的冰箱可以用来存放食物和饮料,正确,错误,,,B,
32,在实验室中做完实验后，发现有个试剂瓶盖没盖，直接用手盖上,正确,错误,,,B,
33,正在进行实验时，可带着防护手套接听电话,正确,错误,,,B,
34,针头、玻璃、一次性手术刀等利器在使用后分类放在普通垃圾桶内处理,正确,错误,,,B,
35,在实验室同时使用多种电气设备时，其总用电量和分线用电量均应小于设计容量,正确,错误,,,A,
36,实验室应将相应的规章制度和操作规程挂到墙上或便于取阅的地方,正确,错误,,,A,
37,"生物安全主要指在进行生物学研究和教学过程中采取适当的防护设施、设备、防护原则及技术操作等以减少或消除有潜在危险性的因子暴露及意外释放，从而保证人类和环境的安全。
",正确,错误,,,A,
38,为了防止污染，有些实验需要戴一次性手套。所以在进入实验室就要戴手套，并一直戴着做所有事情,正确,错误,,,B,
39,在需用橡胶或塑料手套的生化类实验中，不用经常检查手套有无破损,正确,错误,,,B,
40,发酵实验过程中要严格按操作规程进行，要注意水、电、汽（气）安全，厉行节约，严禁跑冒滴漏。要注意不要将酸碱等液体滴到仪器设备表面，避免造成仪器表面污染或腐蚀,正确,错误,,,A,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
