题号,题干,A选项,B选项,C选项,D选项,答案,解析
1,动物实验室中使用的动物，应考虑的因素包括,动物的自然特性,自然存在的体内外寄生虫,播散过敏源的可能性,以上都是,D,动物的自然特性、自然存在的体内外寄生虫以及散播过敏源的可能性在动物实验时都应该考虑到
2,进行微生物的危险度评估的最主要考虑因素是,微生物危险度等级,病原体的操作步骤和方法,病原体的地方流行性,实验室的性质或职能,A,
3,以下不属于生物威胁来源的是,各种致病微生物,外来生物入侵,工厂烟囱排放的空气污染,生物恐怖事件,C,
4,二级生物安全实验室必需配备的设备是,生物安全柜、培养箱,生物安全柜和高压灭菌,生物安全柜和水浴箱,离心机和高压灭菌器,B,
5,在做微生物实验时，不能用于灭菌消毒的手段是,75%酒精浸泡,洗洁精清洗,高压蒸汽锅, 紫外线照射,B,
6,运输高致病性病原微生物菌种或者样本，应当采用的运输途径是, 陆运, 水运,空运,以上都可以,A,
7,下列不属于实验室一级防护工具的是,口罩,防护服,铅服,乳胶手套,C,
8,属于感染性废品是,病人血清,动物体标本,高压高温已灭活的培养基,疫苗,A,
9,二级生物安全实验室手套的要求不包括,在实验室工作时可供使用，对所涉及的危险，例如生物危险、化学品、辐射污染、冷和热、产品污染、刺伤、擦伤和动物抓咬伤等提供足够的防护,为提供足够保护，试验中接听电话或临时离开实验室时均需始终穿戴原来的手套,在撕破、损坏或怀疑内部受污染时应更换新手套,所戴手套无漏损，戴好手套后可完全遮住手及腕部,B,
10,根据卫生部规定，人间传染的病原微生物按危害程度可分为四类，其中哪类危害程度最高, 第一类, 第二类,第三类,第四类,A,
11,进行甲类传染病的霍乱进行大量活菌的实验操作应该在哪级以上的生物安全实验室,一级,二级,三级,四级,B,
12,生物安全柜操作时废物袋以及盛放废弃吸管的容器放置要求不正确的是,废物袋以及盛放废弃吸管的容器等必须放在安全柜内而不应放在安全柜之外,因其体积大的放在生物安全柜一侧就可以,污染的吸管、容器等应先放于安全柜中装有消毒液的容器中消毒1h以上，方可处理,消毒后的废弃物方可转入人医疗废物专用垃圾袋中进行高压灭菌等处理,B,
13,高致病性病原微生物菌种或样本在运输过程中发生被盗、被抢、丢失泄露时，承运单位、护送人、保藏机构应立即采取必要的控制措施，并且在多长时间内向有关部门报告,1小时,2小时,3小时,4小时,B,
14,接收感染性物质标本应由几人进行,1,2,3,4,B,
15,我国在《病原生物实验室生物安全管理条例》中按危险程度对病原体进行分类，危险程度最低病原微生物为哪一类,第一类,第二类,第三类,第四类,D,
16,离心感染性物质，有关操作不正确的是,给离心机配安全罩,离心停止后直接打开转头,使用安全杯,将微型离心机放入安全柜中离心,B,
17,常规微生物操作章程中的安全操作要点，以下哪一项是错误的,禁止非工作人员进入实验室,禁止在工作区饮食、吸烟、处理隐形眼镜、化妆及储存食物,所有培养物、废弃物在运出实验室之前不必进行灭菌,以移液器吸取液体，禁止口吸,C,
18,采集病原微生物样本应当具备的条件，其中不正确的是,具有与采集病原微生物样本所需要的生物安全防护水平相适应的设备,具有掌握相关专业知识和操作技能的工作人员,具有有效的防止病原微生物扩散和感染的措施,具有疑似某种病原微生物感染症患者整个临床病期均可采集样本,D,
19,需运进生物安全实验室的标本、运出实验室灭活的物品或生物活性物质的包装，不正确的是,将有关物品放在大小合适的带螺旋盖内有橡胶圈的塑料管内，拧紧；在塑料管上用油性记号笔写明样品的种类、时间、编号、姓名等,放入大小适合到的塑料袋内塑封，每袋装一份物品,将标本有关信息填在标本送检登记表，连同塑料管用另一塑料袋密封；运出实验室灭活的物品或生物活性物质的信息则需通过传真或其它无污染手段传出,所用密闭容器的外表面视情况印制生物危险标识,D,
20,在同一个实验室的同一个独立安全区域内，能同时从事的高致病性病原微生物的相关实验活动的种类数目为,1种,2种,3种,4种,A,
21,实验动物生产、使用许可证每多少年发放一次，取得许可证的单位，必须接受每年的复查，复查合格者，许可证继续有效,1年,2年,3年,5年,D,
22,从事实验动物繁育工作时，应当取得（）核发的《实验动物生产许可证》。实验动物工作人员应当持有《实验动物技术人员岗位资格认可证书》,卫生厅,农业厅,科技厅,检疫局,C,
23,实验动物使用环境设施应当符合相应实验动物等级标准的要求，（）进行SPF级、清洁级的大小鼠等小动物的实验,普通系统,亚屏障系统,屏障系统,隔离系统,C,
24,实验室生物安全性问题不仅涉及到动物间疾病的传播，最主要还关系到什么,实验成败,实验室污染,人民身体健康,动物死亡,C,
25,依照实验室生物安全国家标准的规定，什么场所不得从事高致病性病原微生物实验活动,一级、二级实验室,三级实验室,四级实验室, 五级实验室,A,
26,在微生物实验中，一些污染或盛有有害细菌和病毒的器皿，可,不需要经消毒和高压灭菌处理后就再利用,不需要经消毒和高压灭菌处理后就直接弃掉,经消毒和高压灭菌处理后，再利用,集中存放待统一处理,C,
27,在微生物实验中，一些不要的菌种等可,直接向下水管道倾倒,不需要经消毒和高压灭菌处理后，直接弃掉,经消毒和高压灭菌处理后，再弃掉, 经紫外线照射后直接弃掉,C,
28,如果在微生物实验中出现意外事故（如菌种管打破等），应立即用什么来清洁桌面、洗手等，及时杀灭细菌和病毒，避免污染面扩大,用消毒剂（84消毒剂）,用普通自来水,用纯净水,乙醇,A,
29,在生物医学实验室中进行有害微生物和转基因操作，应使用,生物安全柜,净化工作台,普通实验台,普通实验台,A,
30,被病原微生物污染的玻璃器皿，应先放在什么设备中进行消毒灭菌,烘箱,高压灭菌锅,加热真空烘箱,微波炉,B,
31,运输高致病性原微生物菌（毒）种或者样本须有不少于2人护送，并采取相应的防护措施，以下哪种运输方式目前是不允许的,城市铁路,飞机,专车, 轮船,A,
