题号,题干,A选项,B选项,C选项,D选项,答案,解析,,,,,,,,,,,
1,对于实验室的微波炉，下列哪种说法是错误的？,微波炉开启后，会产生很强的电磁辐射，操作人员应远离, 严禁将易燃易爆等危险化学品放入微波炉中加热,实验室的微波炉也可加热食品,对密闭压力容器使用微波炉加热时应注意严格按照安全规范操作,C,,,,,,,,,,,,
2,生物安全柜可以在以下哪种情况下使用？,处理感染性物质,进行极有可能产生气溶胶的操作时,空气传播感染的危险增大时,以上都是,D,,,,,,,,,,,,
3,二级生物安全实验室必需配备的设备是,生物安全柜、培养箱,生物安全柜和高压灭菌,生物安全柜和水浴箱,离心机和高压灭菌器,B,,,,,,,,,,,,
4,使用超净台正确规范是,紫外照射后，吹风一段时间再实验,紫外照射后，直接实验,紫外照射后，闷一段时间再实验,紫外灯边照射，边实验,A,,,,,,,,,,,,
5,全自动高压灭菌器的使用哪项是不正确的,同类物品装在一起,敷料与器械同时灭菌时，应将敷料放在下层,液体和固体物品分开存放,常用各种物品的灭菌时间（110-121℃）20-30min,B,,,,,,,,,,,,
6,关于使用高压灭菌器注意事项不正确是,注意防护，防止烫伤，待压力降为0后再开盖,禁止器皿盖紧盖子进行高压灭菌，易产生爆裂,定期检查排水桶、排水管,一次高压灭菌物品尽可能装满,D,,,,,,,,,,,,
7,使用高压灭菌器时，以下哪个要求是不必要的？,灭菌器腔内装载要松散，以便蒸汽作用均匀,必须穿防护服和戴手套,灭菌器的排水过滤器应经常拆下清洗,待温度降至80°C以下时才能打开高压灭菌器,B,,,,,,,,,,,,
8,被病原微生物污染的玻璃器皿，应先放在什么设备中进行消毒灭菌？,烘箱,高压灭菌锅,加热真空烘箱,微波炉,B,,,,,,,,,,,,
9,关于使用高压灭菌器注意事项不正确是,注意防护，防止烫伤，待温度降下后再开盖,定期检查排水桶、排水管,禁止器皿盖着盖子进行高压灭菌，易产生爆裂,一次高压灭菌物品尽可能装满,D,,,,,,,,,,,,
10,高压蒸汽灭菌的纱布敷料、棉球打开未用完，最长保存期为,24小时,10小时,48小时,2小时,A,,,,,,,,,,,,
11,关于使用高压灭菌锅的正确方式是,定时维护检修,在高压灭菌的过程中打开盖子,培训后没有许可证也可使用,到其他实验室擅自使用,A,,,,,,,,,,,,
12,加热和蒸馏有易燃试剂的实验时，不能用：,水浴锅,明火,通风橱,,B,,,,,,,,,,,,
13,灭菌结束后什么时候可以打开灭菌锅的盖子,温度刚降到100度,压力为0时,随时可以,压力降为0.05Mpa,B ,,,,,,,,,,,,
14,关于离心机的使用注意事项，不正确的是,离心之前样品必须配平,离心样品数量为偶数,配平后的样品可以随意放置转子中,在未达到最大转速之前人员不要走开,C,,,,,,,,,,,,
15,关于生物安全柜的移门高度有什么要求,不要超过安全线高度,任意高度都行,300mm以上,700mm以上,A,,,,,,,,,,,,
16,以下物质中，哪些应该在通风橱内操作?,氢气,氮气,氦气,氯化氢,D,,,,,,,,,,,,
17,恒温培养箱的使用最高温度为, 60℃,100℃, 45℃,80℃,A,,,,,,,,,,,,
18,在生物医学实验室中进行有害微生物和转基因操作，应使用,生物安全柜,净化工作台,普通实验台,通风柜,A,,,,,,,,,,,,
19,使用移液管时下列哪种操作是正确的,可以用移液管反复吸入和抽出传染性物质,一根移液管未经清洗，可吸取多种溶液,可以将任何传染性物质的液体吹入空气, 用洗耳球吹吸移液管,D,,,,,,,,,,,,
20,生物安全柜操作时废物袋以及盛放废弃吸管的容器放置要求不正确的是,废物袋以及盛放废弃吸管的容器等必须放在安全柜内而不应放在安全柜之外,体积大的放在生物安全柜一侧即可,污染的吸管、容器等应先在放于安全柜中装有消毒液的容器中消毒1 h以上，方可处理,"消毒后的废弃物方可转入医疗废物专用垃圾袋中进行高压灭菌等处理
",B,,,,,,,,,,,,
21,生物安全柜在使用前需要检查正常指标，不包括,噪声, 气流量,负压在正常范围,风,A,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
